x,y,r,building,road,none,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
538.0,1130.0,75.0,1e-05,0.12,0.88,1.4705137014389038,8.351203918457031,1e-05,8.23171615600586,1e-05,3.870251417160034,1e-05,2.6843056678771973,1e-05,1e-05,17.741573333740234,1.1737010478973389,1e-05,1e-05,1e-05,5.123204708099365
1655.0,588.0,75.0,1e-05,1e-05,1.0,0.021639198064804077,1e-05,0.8573355078697205,1.192230224609375,0.08542566001415253,0.23006044328212738,1e-05,1e-05,1e-05,0.3198428750038147,1e-05,1.1486812829971313,1e-05,0.12352446466684341,0.48011964559555054,0.9406467080116272
95.0,476.0,75.0,1e-05,1e-05,1.0,0.10301655530929565,0.5734527111053467,0.32300424575805664,1e-05,0.014394909143447876,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.10367128252983093,1e-05,1e-05,0.4706650376319885,0.14567509293556213
1089.0,288.0,75.0,1e-05,0.84,0.16,1e-05,1e-05,3.5349745750427246,6.2118964195251465,1e-05,3.3601906299591064,1e-05,1e-05,1e-05,1e-05,13.41249942779541,29.755050659179688,1e-05,1e-05,1.9857711791992188,28.932802200317383
233.0,1186.0,75.0,1e-05,1e-05,1.0,0.10301655530929565,0.5734527111053467,0.32300424575805664,1e-05,0.014394909143447876,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.10367128252983093,1e-05,1e-05,0.4706650376319885,0.14567509293556213
1540.0,1117.0,75.0,1e-05,1e-05,1.0,0.10301655530929565,0.5734527111053467,0.32300424575805664,1e-05,0.014394909143447876,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.10367128252983093,1e-05,1e-05,0.4706650376319885,0.14567509293556213
209.0,1112.0,75.0,1e-05,1e-05,1.0,0.10301655530929565,0.5734527111053467,0.32300424575805664,1e-05,0.014394909143447876,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.10367128252983093,1e-05,1e-05,0.4706650376319885,0.14567509293556213
192.0,854.0,75.0,1e-05,1e-05,1.0,0.10301655530929565,0.5734527111053467,0.32300424575805664,1e-05,0.014394909143447876,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.10367128252983093,1e-05,1e-05,0.4706650376319885,0.14567509293556213
1268.0,477.0,75.0,1e-05,0.13,0.87,1e-05,1e-05,2.0903475284576416,4.962898254394531,1e-05,1.8741494417190552,1e-05,1e-05,1e-05,1.1390615701675415,0.8854467868804932,6.468133449554443,1e-05,1e-05,0.4557548761367798,5.473710536956787
1477.0,896.0,75.0,1e-05,0.8,0.2,1e-05,1e-05,7.451381683349609,3.5004401206970215,1e-05,0.4083002507686615,1e-05,3.2964975833892822,1e-05,1e-05,7.761107444763184,26.45317268371582,1e-05,1e-05,6.749572277069092,29.555456161499023
368.0,1302.0,75.0,0.04,0.31,0.65,1e-05,1e-05,5.09492301940918,1e-05,1e-05,1e-05,1e-05,14.101116180419922,1e-05,1e-05,30.40565299987793,14.236705780029297,1e-05,1e-05,6.634634971618652,22.671600341796875
1441.0,1687.0,75.0,0.96,1e-05,0.04,0.6116795539855957,34.3128662109375,47.0117301940918,1e-05,1e-05,1e-05,1e-05,36.388450622558594,1e-05,1e-05,26.21556282043457,17.13630485534668,1e-05,1e-05,43.396324157714844,59.03889465332031
1373.0,1261.0,75.0,1e-05,1e-05,1.0,0.10301655530929565,0.5734527111053467,0.32300424575805664,1e-05,0.014394909143447876,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.10367128252983093,1e-05,1e-05,0.4706650376319885,0.14567509293556213
650.0,1377.0,75.0,0.09,0.91,1e-05,1e-05,1e-05,9.809257507324219,1.157448172569275,1e-05,1e-05,1e-05,5.171135425567627,1e-05,0.06223519146442413,23.121057510375977,39.583866119384766,1e-05,1e-05,13.229455947875977,36.81501770019531
749.0,1986.0,75.0,1e-05,1e-05,1.0,0.10301655530929565,0.5734527111053467,0.32300424575805664,1e-05,0.014394909143447876,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.10367128252983093,1e-05,1e-05,0.4706650376319885,0.14567509293556213
1282.0,1454.0,75.0,0.23,1e-05,0.77,1e-05,10.50749397277832,6.665351867675781,1e-05,1e-05,1e-05,1e-05,14.610224723815918,1e-05,1e-05,22.33482551574707,1.2437868118286133,1e-05,1e-05,3.6316914558410645,15.579113960266113
1311.0,1821.0,75.0,0.72,0.05,0.24,10.481987953186035,48.05742645263672,25.96345329284668,1e-05,1e-05,1e-05,1e-05,30.420352935791016,1e-05,2.3443338871002197,34.58360290527344,1e-05,1e-05,1e-05,31.006750106811523,39.698768615722656
852.0,1904.0,75.0,1e-05,1e-05,1.0,2.5794572830200195,5.22633695602417,3.7633681297302246,4.494156360626221,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,4.924258708953857,1e-05,1e-05,5.989535331726074,0.7505126595497131
1323.0,1127.0,75.0,1e-05,0.03,0.97,1e-05,1e-05,6.586621284484863,5.635720252990723,1e-05,0.53733229637146,1e-05,0.18843726813793182,1e-05,0.5417167544364929,0.4067239761352539,9.052111625671387,1e-05,0.075665682554245,5.1140971183776855,7.015608787536621
1304.0,119.0,75.0,1e-05,0.61,0.39,1e-05,1e-05,7.305755615234375,1e-05,1e-05,1e-05,1e-05,10.79504108428955,1e-05,1e-05,35.67852783203125,32.63274002075195,1e-05,1e-05,12.197978973388672,36.02288818359375
1094.0,1979.0,75.0,1e-05,0.48,0.52,1e-05,1e-05,6.874379634857178,1e-05,1e-05,1e-05,1e-05,12.50532341003418,1e-05,1e-05,32.27568054199219,25.407386779785156,1e-05,1e-05,11.614072799682617,31.911701202392578
154.0,1081.0,75.0,1e-05,1e-05,1.0,0.10301655530929565,0.5734527111053467,0.32300424575805664,1e-05,0.014394909143447876,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.10367128252983093,1e-05,1e-05,0.4706650376319885,0.14567509293556213
1581.0,878.0,75.0,1e-05,0.87,0.13,1e-05,1e-05,7.954470634460449,0.4953865110874176,1e-05,1e-05,1e-05,4.746811866760254,1e-05,1e-05,17.667116165161133,33.287872314453125,1e-05,1e-05,10.465471267700195,35.16142272949219
422.0,110.0,75.0,1e-05,1e-05,1.0,0.10301655530929565,0.5734527111053467,0.32300424575805664,1e-05,0.014394909143447876,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.10367128252983093,1e-05,1e-05,0.4706650376319885,0.14567509293556213
1459.0,1754.0,75.0,1.0,1e-05,1e-05,3.335062026977539,43.560447692871094,46.51404571533203,1e-05,1e-05,1e-05,1e-05,40.94395065307617,1e-05,0.9027298092842102,34.88264465332031,12.707792282104492,1e-05,1e-05,44.12062072753906,61.15257263183594
1619.0,1060.0,75.0,1e-05,0.14,0.86,1e-05,1e-05,5.282381057739258,1e-05,1e-05,1e-05,1e-05,10.789373397827148,1e-05,1e-05,18.094133377075195,10.34055233001709,1e-05,1e-05,6.849956512451172,16.6898193359375
234.0,1047.0,75.0,1e-05,1e-05,1.0,0.10301655530929565,0.5734527111053467,0.32300424575805664,1e-05,0.014394909143447876,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.10367128252983093,1e-05,1e-05,0.4706650376319885,0.14567509293556213
1780.0,555.0,75.0,1e-05,1e-05,1.0,1e-05,0.3362712562084198,0.2280612289905548,1e-05,0.04846895486116409,1e-05,1e-05,0.046235401183366776,1e-05,1e-05,0.07772428542375565,0.012401952408254147,1e-05,1e-05,0.2534417510032654,0.20596881210803986
671.0,1704.0,75.0,0.99,1e-05,0.01,7.1027445793151855,52.612525939941406,43.58064651489258,1e-05,1e-05,1e-05,1e-05,42.27152633666992,1e-05,2.6398279666900635,39.6895866394043,7.0739426612854,1e-05,1e-05,43.800750732421875,60.09032440185547
389.0,187.0,75.0,1e-05,1e-05,1.0,0.10301655530929565,0.5734527111053467,0.32300424575805664,1e-05,0.014394909143447876,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.10367128252983093,1e-05,1e-05,0.4706650376319885,0.14567509293556213
1608.0,544.0,75.0,1e-05,0.07,0.93,0.1531374752521515,1e-05,1.2334117889404297,5.018941879272461,1e-05,2.386972665786743,1e-05,1e-05,1e-05,2.09075665473938,1.4802651405334473,3.6672370433807373,1e-05,1e-05,1e-05,3.673902750015259
1812.0,1190.0,75.0,1e-05,0.86,0.14,1e-05,1e-05,4.834573268890381,3.2221474647521973,1e-05,1.4203141927719116,1e-05,0.5343160033226013,1e-05,1e-05,9.31821060180664,26.109657287597656,1e-05,1e-05,3.6441047191619873,28.737680435180664
1718.0,1865.0,75.0,1e-05,0.33,0.67,1e-05,1e-05,2.014103889465332,1e-05,1e-05,1e-05,1e-05,1.6546857357025146,1e-05,1e-05,5.414597511291504,9.836764335632324,1e-05,1e-05,2.4200193881988525,12.983081817626953
471.0,1262.0,75.0,0.18,0.67,0.15,1e-05,1e-05,6.329207897186279,1e-05,1e-05,1e-05,1e-05,6.954244613647461,1e-05,1e-05,14.902514457702637,21.216806411743164,1e-05,1e-05,8.647582054138184,27.456506729125977
291.0,331.0,75.0,1e-05,1e-05,1.0,0.10301655530929565,0.5734527111053467,0.32300424575805664,1e-05,0.014394909143447876,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.10367128252983093,1e-05,1e-05,0.4706650376319885,0.14567509293556213
1507.0,812.0,75.0,1e-05,0.95,0.05,1e-05,1e-05,4.524578094482422,1e-05,1e-05,0.014852837659418583,1e-05,2.4309706687927246,1e-05,1e-05,16.239055633544922,29.100818634033203,1e-05,1e-05,5.857887268066406,33.89952087402344
432.0,144.0,75.0,1e-05,1e-05,1.0,0.10301655530929565,0.5734527111053467,0.32300424575805664,1e-05,0.014394909143447876,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.10367128252983093,1e-05,1e-05,0.4706650376319885,0.14567509293556213
542.0,384.0,75.0,1e-05,1e-05,1.0,0.10301655530929565,0.5734527111053467,0.32300424575805664,1e-05,0.014394909143447876,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.10367128252983093,1e-05,1e-05,0.4706650376319885,0.14567509293556213
1111.0,283.0,75.0,1e-05,0.68,0.32,1e-05,1e-05,2.960773468017578,11.366523742675781,1e-05,5.895137786865234,1e-05,1e-05,1e-05,1.0900238752365112,10.739653587341309,26.202333450317383,1e-05,1e-05,1e-05,24.287540435791016
776.0,878.0,75.0,1e-05,1e-05,1.0,0.10301655530929565,0.5734527111053467,0.32300424575805664,1e-05,0.014394909143447876,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.10367128252983093,1e-05,1e-05,0.4706650376319885,0.14567509293556213
594.0,134.0,75.0,1e-05,1e-05,1.0,0.10301655530929565,0.5734527111053467,0.32300424575805664,1e-05,0.014394909143447876,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.10367128252983093,1e-05,1e-05,0.4706650376319885,0.14567509293556213
1685.0,1699.0,75.0,1e-05,1e-05,1.0,0.10301655530929565,0.5734527111053467,0.32300424575805664,1e-05,0.014394909143447876,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.10367128252983093,1e-05,1e-05,0.4706650376319885,0.14567509293556213
1245.0,2013.0,75.0,1e-05,0.56,0.44,1e-05,1e-05,0.5060250759124756,9.73363971710205,1e-05,6.135787010192871,1e-05,1e-05,1e-05,0.1604808121919632,9.726888656616211,17.82843780517578,1e-05,1e-05,1e-05,17.78156280517578
1257.0,981.0,75.0,1e-05,0.62,0.38,1e-05,1e-05,3.9790847301483154,0.16190090775489807,1e-05,0.057825639843940735,1e-05,2.251983642578125,1e-05,1e-05,10.077984809875488,20.357107162475586,1e-05,1e-05,4.722497940063477,23.914718627929688
1390.0,627.0,75.0,1e-05,0.02,0.98,1e-05,0.04010119289159775,0.698408305644989,1e-05,1e-05,1e-05,1e-05,1.762186884880066,1e-05,1e-05,3.981919288635254,1.764216661453247,1e-05,1e-05,0.8658251166343689,2.9251248836517334
1566.0,673.0,75.0,1e-05,0.75,0.25,1e-05,1e-05,3.779536247253418,10.242829322814941,1e-05,4.826424598693848,1e-05,1e-05,1e-05,0.6036389470100403,10.800236701965332,28.987009048461914,1e-05,1e-05,0.48728060722351074,26.925426483154297
866.0,1640.0,75.0,1e-05,1.0,1e-05,1e-05,1e-05,5.455315589904785,1.1260265111923218,1e-05,0.43972620368003845,1e-05,1.8531173467636108,1e-05,1e-05,14.68688678741455,31.233116149902344,1e-05,1e-05,6.209165096282959,34.6779670715332
1596.0,1511.0,75.0,1e-05,1e-05,1.0,0.10301655530929565,0.5734527111053467,0.32300424575805664,1e-05,0.014394909143447876,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.10367128252983093,1e-05,1e-05,0.4706650376319885,0.14567509293556213
574.0,1686.0,75.0,0.45,0.01,0.54,14.39163589477539,54.15580368041992,14.866165161132812,1e-05,1e-05,1e-05,1e-05,31.749971389770508,1e-05,2.9339230060577393,49.90721130371094,1e-05,1e-05,1e-05,24.209074020385742,32.11457061767578
