x,y,r,building,road,none,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
199.0,128.0,20.0,1e-05,0.04,0.96,1e-05,1e-05,1.7405598163604736,1.8546855449676514,1e-05,0.32392534613609314,1e-05,1e-05,1e-05,0.11318661272525787,1e-05,2.307565927505493,1e-05,0.18916593492031097,1.1716108322143555,1.8750975131988525
290.0,303.0,20.0,1e-05,1.0,1e-05,1e-05,1e-05,5.4524006843566895,1.120519995689392,1e-05,0.4377339780330658,1e-05,1.858237624168396,1e-05,1e-05,14.682027816772461,31.211477279663086,1e-05,1e-05,6.206879138946533,34.666900634765625
86.0,73.0,20.0,1.0,1e-05,1e-05,4.917473793029785,47.187225341796875,46.06405258178711,1e-05,1e-05,1e-05,1e-05,41.99689865112305,1e-05,1.4110225439071655,36.69237518310547,10.689297676086426,1e-05,1e-05,44.296546936035156,61.54902648925781
300.0,133.0,20.0,0.85,0.15,1e-05,38.205039978027344,103.80228424072266,40.70976638793945,1e-05,1e-05,1e-05,1e-05,24.63703155517578,1e-05,1e-05,36.05829620361328,1e-05,1e-05,1e-05,76.92338562011719,46.69104766845703
531.0,82.0,20.0,1e-05,1e-05,1.0,1e-05,0.4185045659542084,2.903517723083496,1.2675899267196655,1e-05,1e-05,1e-05,0.6208946108818054,1e-05,1e-05,1e-05,2.8290176391601562,1e-05,1e-05,2.5377135276794434,2.9148261547088623
443.0,410.0,20.0,1.0,1e-05,1e-05,4.917473793029785,47.187225341796875,46.06405258178711,1e-05,1e-05,1e-05,1e-05,41.99689865112305,1e-05,1.4110225439071655,36.69237518310547,10.689297676086426,1e-05,1e-05,44.296546936035156,61.54902648925781
409.0,210.0,20.0,1e-05,0.65,0.35,1e-05,1e-05,1.2772399187088013,1.2347368001937866,1e-05,1.3391088247299194,1e-05,1e-05,1e-05,1e-05,10.754891395568848,16.58350372314453,1e-05,1e-05,0.8464291095733643,20.08757209777832
44.0,484.0,20.0,1e-05,0.19,0.81,1e-05,1e-05,1e-05,3.5917792320251465,1e-05,2.31312894821167,1e-05,1e-05,1e-05,1e-05,3.0345118045806885,5.031888008117676,1e-05,1e-05,1e-05,5.453403949737549
349.0,162.0,20.0,0.01,0.24,0.76,1e-05,1e-05,3.5124011039733887,10.27441120147705,1e-05,4.213864803314209,1e-05,1e-05,1e-05,3.4429399967193604,1.9513643980026245,10.853266716003418,1e-05,1e-05,0.0503222793340683,9.13528060913086
81.0,272.0,20.0,1e-05,0.71,0.29,1e-05,1e-05,6.335574150085449,1e-05,1e-05,1e-05,1e-05,4.165167331695557,1e-05,1e-05,17.265384674072266,28.369028091430664,1e-05,1e-05,8.88162612915039,29.622411727905273
420.0,238.0,20.0,1e-05,1.0,1e-05,1e-05,1e-05,5.4524006843566895,1.120519995689392,1e-05,0.4377339780330658,1e-05,1.858237624168396,1e-05,1e-05,14.682027816772461,31.211477279663086,1e-05,1e-05,6.206879138946533,34.666900634765625
431.0,67.0,20.0,1.0,1e-05,1e-05,4.917473793029785,47.187225341796875,46.06405258178711,1e-05,1e-05,1e-05,1e-05,41.99689865112305,1e-05,1.4110225439071655,36.69237518310547,10.689297676086426,1e-05,1e-05,44.296546936035156,61.54902648925781
306.0,189.0,20.0,1e-05,0.98,0.02,1e-05,1e-05,5.3932342529296875,0.6517757177352905,1e-05,0.12864620983600616,1e-05,2.0961241722106934,1e-05,1e-05,16.544937133789062,32.14461135864258,1e-05,1e-05,6.848077297210693,34.98780059814453
224.0,141.0,20.0,1e-05,1e-05,1.0,0.23220542073249817,0.2643991708755493,0.3243944048881531,0.7570005655288696,0.07926763594150543,0.29462507367134094,1e-05,1e-05,1e-05,0.19471247494220734,0.10366892069578171,0.4471505880355835,1e-05,1e-05,0.2579495906829834,0.4410216510295868
332.0,105.0,20.0,0.83,0.01,0.16,1.1420776844024658,27.18312644958496,44.16067123413086,1e-05,1e-05,1e-05,1e-05,25.880565643310547,1e-05,1e-05,11.05997371673584,18.733169555664062,1e-05,1e-05,41.15660095214844,51.992103576660156
644.0,262.0,20.0,1e-05,0.9,0.1,1e-05,1e-05,6.338077545166016,3.264040470123291,1e-05,0.9259627461433411,1e-05,2.0418357849121094,1e-05,1e-05,9.110644340515137,28.283903121948242,1e-05,1e-05,5.525187015533447,31.58196258544922
548.0,264.0,20.0,1e-05,0.62,0.38,1e-05,1e-05,8.369274139404297,2.956782817840576,1e-05,1e-05,1e-05,3.3324356079101562,1e-05,1e-05,9.374484062194824,27.860876083374023,1e-05,1e-05,9.173348426818848,27.849397659301758
198.0,285.0,20.0,1e-05,0.33,0.67,1e-05,1e-05,3.2069997787475586,0.8657687902450562,1e-05,1e-05,1e-05,1.6499887704849243,1e-05,1e-05,3.788217067718506,10.937806129455566,1e-05,1e-05,3.312476634979248,12.669564247131348
686.0,201.0,20.0,1e-05,0.69,0.31,1e-05,1e-05,3.323500156402588,2.6630148887634277,1e-05,1.358481526374817,1e-05,1e-05,1e-05,1e-05,8.177223205566406,20.492544174194336,1e-05,1e-05,2.2121973037719727,22.341726303100586
579.0,101.0,20.0,1.0,1e-05,1e-05,5.451174259185791,48.02259826660156,43.02473068237305,1e-05,1e-05,1e-05,1e-05,41.577640533447266,1e-05,1.8348230123519897,38.65080261230469,8.363011360168457,1e-05,1e-05,41.788795471191406,59.09686279296875
232.0,403.0,20.0,1.0,1e-05,1e-05,4.917473793029785,47.187225341796875,46.06405258178711,1e-05,1e-05,1e-05,1e-05,41.99689865112305,1e-05,1.4110225439071655,36.69237518310547,10.689297676086426,1e-05,1e-05,44.296546936035156,61.54902648925781
20.0,133.0,20.0,1e-05,0.01,0.99,1e-05,0.26691505312919617,0.29259559512138367,1e-05,0.035533688962459564,1e-05,1e-05,0.30110523104667664,1e-05,1e-05,0.5922495126724243,0.17076753079891205,1e-05,1e-05,0.23890811204910278,0.4929134249687195
