x,y,r,building,road,none,f1,f2,f3
207.0,1913.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
884.0,1468.0,75.0,0.0,0.88,0.12,0.0,112.78960418701172,69.16549682617188
1598.0,1068.0,75.0,0.0,0.05,0.95,0.0,22.023656845092773,2.812346935272217
584.0,1567.0,75.0,0.95,0.01,0.04,0.0,24.151531219482422,56.880577087402344
1539.0,958.0,75.0,0.0,0.22,0.78,0.0,57.2646484375,12.057926177978516
1156.0,875.0,75.0,0.0,0.02,0.98,0.0,24.518062591552734,23.775171279907227
233.0,1519.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
1626.0,1159.0,75.0,0.0,0.0,1.0,0.0,3.46185040473938,0.768306314945221
1554.0,436.0,75.0,0.0,0.15,0.85,0.0,14.648097038269043,10.302937507629395
416.0,1058.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
1735.0,916.0,75.0,0.0,0.13,0.87,0.0,13.34970474243164,8.279743194580078
1149.0,1133.0,75.0,0.0,0.49,0.51,0.0,83.87191772460938,56.780494689941406
400.0,1749.0,75.0,0.0,0.0,1.0,0.0,0.9117416143417358,0.13210545480251312
1758.0,702.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
1056.0,176.0,75.0,0.0,0.6,0.4,0.0,64.94603729248047,39.71072769165039
1647.0,1794.0,75.0,0.01,0.0,0.98,0.0,9.133293151855469,10.54159927368164
1544.0,1678.0,75.0,0.22,0.0,0.78,0.0,2.1001272201538086,8.033976554870605
542.0,415.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
630.0,1057.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
489.0,1123.0,75.0,0.0,0.01,0.99,0.0,10.702488899230957,11.0580472946167
567.0,134.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
277.0,1129.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
1465.0,141.0,75.0,0.0,0.07,0.93,0.0,5.185667991638184,2.9624991416931152
1535.0,272.0,75.0,0.0,0.0,1.0,0.0,1.822206735610962,1.0112665891647339
1582.0,303.0,75.0,0.0,0.0,1.0,0.0,0.9465201497077942,0.1871321052312851
520.0,321.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
172.0,2020.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
1220.0,1062.0,75.0,0.0,0.66,0.34,0.0,103.79048919677734,67.98988342285156
1640.0,1621.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
619.0,1792.0,75.0,0.33,0.01,0.66,0.0,5.012484073638916,7.147094249725342
508.0,180.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
877.0,835.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
1464.0,1928.0,75.0,0.47,0.13,0.41,0.0,56.79295349121094,82.63501739501953
415.0,1550.0,75.0,0.0,0.0,1.0,0.0,2.1867361068725586,0.12254516780376434
1513.0,1178.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
1657.0,1242.0,75.0,0.0,0.0,1.0,0.0,1.7286373376846313,0.31234997510910034
589.0,744.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
86.0,509.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
1234.0,358.0,75.0,0.0,0.02,0.98,0.0,2.2137234210968018,0.9854786992073059
887.0,1081.0,75.0,0.0,0.29,0.71,0.0,44.77588653564453,49.939483642578125
1460.0,2007.0,75.0,0.01,0.46,0.53,0.0,72.22384643554688,52.945152282714844
650.0,722.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
1263.0,1335.0,75.0,0.0,0.0,1.0,0.0,0.9137207269668579,0.13921873271465302
784.0,1758.0,75.0,0.63,0.26,0.11,0.0,2.267874240875244,23.30421257019043
997.0,412.0,75.0,0.0,1.0,0.0,0.0,158.08013916015625,104.90349578857422
185.0,1693.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
