x,y,r,building,road,none,f1,f2,f3
298.0,265.0,20.0,0.0,0.83,0.17,0.0,117.58206939697266,73.28670501708984
307.0,539.0,20.0,0.0,0.02,0.98,0.0,3.455487012863159,1.744931936264038
168.0,353.0,20.0,0.0,0.04,0.96,0.0,18.096973419189453,7.847907543182373
103.0,205.0,20.0,0.61,0.0,0.39,0.0,5.840980052947998,42.36241912841797
371.0,266.0,20.0,1.0,0.0,0.0,0.0,25.853435516357422,70.1583480834961
256.0,20.0,20.0,0.0,0.82,0.18,0.0,100.47430419921875,60.8995361328125
384.0,519.0,20.0,0.0,0.08,0.92,0.0,17.756290435791016,2.4497952461242676
140.0,467.0,20.0,0.0,0.01,0.99,0.0,3.3735954761505127,0.716532289981842
61.0,38.0,20.0,0.24,0.1,0.66,0.0,0.7713426351547241,1.7398607730865479
282.0,680.0,20.0,0.0,0.27,0.73,0.0,23.625240325927734,14.724865913391113
341.0,690.0,20.0,0.0,0.04,0.96,0.0,13.931384086608887,5.650564670562744
307.0,506.0,20.0,0.0,0.02,0.98,0.0,3.455487012863159,1.744931936264038
56.0,405.0,20.0,0.37,0.2,0.43,0.0,9.274518013000488,10.766698837280273
353.0,408.0,20.0,0.82,0.03,0.15,0.0,16.522159576416016,45.22123336791992
386.0,171.0,20.0,0.35,0.07,0.58,0.0,40.01707077026367,62.12055969238281
294.0,291.0,20.0,0.0,0.29,0.71,0.0,65.98167419433594,30.96466636657715
192.0,548.0,20.0,0.3,0.37,0.33,0.0,26.684154510498047,29.40018081665039
303.0,405.0,20.0,0.0,0.23,0.77,0.0,25.581340789794922,13.51882553100586
258.0,453.0,20.0,0.0,0.81,0.19,0.0,101.91551971435547,61.03544616699219
360.0,424.0,20.0,0.92,0.06,0.02,0.0,21.819416046142578,48.8172492980957
318.0,426.0,20.0,0.0,0.05,0.95,0.0,21.203720092773438,19.325525283813477
429.0,576.0,20.0,0.45,0.02,0.54,0.0,4.254154205322266,26.149181365966797
215.0,386.0,20.0,0.0,0.98,0.02,0.0,151.1272735595703,102.65798950195312
146.0,618.0,20.0,0.36,0.04,0.6,0.0,6.415610313415527,15.5302734375
149.0,139.0,20.0,0.0,0.04,0.96,0.0,6.052597999572754,2.1262147426605225
388.0,503.0,20.0,0.18,0.26,0.56,0.0,31.498159408569336,21.873519897460938
122.0,256.0,20.0,1.0,0.0,0.0,0.0,25.65129280090332,69.65526580810547
178.0,352.0,20.0,0.0,0.21,0.79,0.0,77.84020233154297,17.127180099487305
28.0,649.0,20.0,0.0,0.01,0.99,0.0,5.784823894500732,0.21198420226573944
232.0,109.0,20.0,0.0,1.0,0.0,0.0,157.3682861328125,104.41924285888672
339.0,551.0,20.0,0.1,0.09,0.81,0.0,1.7168737649917603,1.2351495027542114
92.0,609.0,20.0,1.0,0.0,0.0,0.0,25.65129280090332,69.65526580810547
235.0,381.0,20.0,0.0,1.0,0.0,0.0,156.16015625,103.78021240234375
383.0,469.0,20.0,0.67,0.1,0.23,0.0,12.624845504760742,25.959217071533203
333.0,336.0,20.0,0.0,0.01,0.99,0.0,2.3306174278259277,1.1713744401931763
377.0,416.0,20.0,1.0,0.0,0.0,0.0,25.65129280090332,69.65526580810547
177.0,353.0,20.0,0.0,0.21,0.79,0.0,76.52769470214844,17.066551208496094
357.0,297.0,20.0,0.27,0.24,0.49,0.0,16.393173217773438,17.66732406616211
339.0,363.0,20.0,0.0,0.01,0.99,0.0,3.1644904613494873,2.5258030891418457
425.0,353.0,20.0,0.07,0.14,0.79,0.0,11.217334747314453,7.602614879608154
36.0,297.0,20.0,0.08,0.13,0.8,0.0,27.579362869262695,0.9235597252845764
271.0,694.0,20.0,0.0,0.52,0.48,0.0,53.84398651123047,32.04279708862305
336.0,105.0,20.0,0.25,0.25,0.51,0.0,19.34477996826172,20.823007583618164
143.0,582.0,20.0,0.87,0.09,0.05,0.0,28.73614501953125,64.7444076538086
158.0,174.0,20.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
82.0,275.0,20.0,0.99,0.01,0.0,0.0,25.758852005004883,74.07398986816406
163.0,210.0,20.0,0.54,0.0,0.46,0.0,5.342875957489014,29.216520309448242
363.0,73.0,20.0,1.0,0.0,0.0,0.0,24.434288024902344,71.51110076904297
154.0,199.0,20.0,0.28,0.0,0.72,0.0,2.856351375579834,15.413097381591797
449.0,188.0,20.0,0.01,0.07,0.92,0.0,25.40961456298828,9.186151504516602
467.0,448.0,20.0,0.6,0.09,0.3,0.0,19.500234603881836,41.331573486328125
484.0,305.0,20.0,0.0,0.08,0.92,0.0,19.73004722595215,10.822732925415039
275.0,358.0,20.0,0.0,0.5,0.5,0.0,44.62030029296875,25.832895278930664
150.0,318.0,20.0,0.0,0.01,0.99,0.0,3.170786142349243,1.9921584129333496
