x,y,r,building,road,none
364,47,25,0.36,0.02,0.62
183,412,25,0.0,0.61,0.39
182,309,25,0.0,0.19,0.81
193,39,25,0.14,0.53,0.33
232,665,25,0.0,1.0,0.0
178,520,25,0.05,0.19,0.76
146,445,25,0.14,0.11,0.76
152,451,25,0.03,0.11,0.86
190,97,25,0.05,0.72,0.22
361,487,25,0.05,0.14,0.81
368,153,25,0.41,0.13,0.46
191,530,25,0.11,0.36,0.53
378,594,25,1.0,0.0,0.0
365,268,25,0.95,0.04,0.01
334,262,25,0.38,0.31,0.31
133,512,25,0.01,0.09,0.91
61,547,25,0.1,0.14,0.76
199,48,25,0.15,0.74,0.11
267,666,25,0.0,0.65,0.35
30,399,25,0.0,0.03,0.97
43,477,25,0.04,0.39,0.57
38,197,25,0.0,0.02,0.98
303,607,25,0.0,0.18,0.82
268,162,25,0.0,0.62,0.38
102,526,25,0.19,0.12,0.68
157,177,25,0.0,0.0,1.0
87,285,25,1.0,0.0,0.0
243,98,25,0.0,1.0,0.0
67,243,25,0.62,0.21,0.17
86,333,25,0.56,0.04,0.4
250,560,25,0.0,0.94,0.06
179,592,25,0.22,0.19,0.59
118,384,25,0.78,0.03,0.18
72,526,25,0.0,0.17,0.83
469,395,25,0.11,0.01,0.88
58,169,25,0.1,0.15,0.75
463,690,25,0.0,0.15,0.85
96,210,25,0.67,0.05,0.28
155,596,25,0.45,0.12,0.42
480,372,25,0.0,0.03,0.97
308,337,25,0.0,0.06,0.94
43,311,25,0.3,0.16,0.54
273,60,25,0.0,0.72,0.28
434,166,25,0.52,0.1,0.38
82,176,25,0.05,0.11,0.84
447,36,25,0.0,0.09,0.91
459,60,25,0.01,0.04,0.95
130,548,25,0.79,0.09,0.12
206,158,25,0.0,0.68,0.32
91,402,25,0.96,0.04,0.0
197,551,25,0.23,0.57,0.2
100,679,25,0.16,0.09,0.75
34,517,25,0.0,0.07,0.93
167,646,25,0.0,0.1,0.9
456,396,25,0.36,0.02,0.63
347,643,25,0.21,0.28,0.51
148,274,25,0.45,0.14,0.41
167,449,25,0.0,0.16,0.84
406,454,25,1.0,0.0,0.0
470,88,25,0.33,0.0,0.67
145,597,25,0.59,0.13,0.28
278,500,25,0.0,0.47,0.53
164,355,25,0.0,0.1,0.9
382,190,25,0.26,0.04,0.7
473,49,25,0.0,0.11,0.89
307,98,25,0.0,0.6,0.4
247,216,25,0.0,0.98,0.02
106,470,25,0.74,0.05,0.21
90,320,25,0.81,0.07,0.12
331,688,25,0.0,0.05,0.95
286,153,25,0.0,0.34,0.66
78,666,25,0.25,0.48,0.26
444,632,25,0.51,0.02,0.47
36,510,25,0.0,0.15,0.85
123,574,25,0.93,0.07,0.0
240,101,25,0.0,1.0,0.0
83,413,25,0.95,0.05,0.0
267,261,25,0.0,0.98,0.02
225,110,25,0.0,0.96,0.04
241,162,25,0.0,1.0,0.0
50,683,25,0.0,0.17,0.83
317,298,25,0.0,0.06,0.94
322,555,25,0.01,0.21,0.78
97,580,25,0.93,0.07,0.0
203,674,25,0.0,0.62,0.38
50,414,25,0.3,0.32,0.38
91,36,25,0.63,0.01,0.36
251,228,25,0.0,1.0,0.0
80,690,25,0.0,0.18,0.82
129,210,25,0.73,0.04,0.23
468,46,25,0.0,0.16,0.84
410,599,25,0.96,0.04,0.0
273,389,25,0.0,0.75,0.25
138,303,25,0.19,0.13,0.68
197,311,25,0.0,0.55,0.45
470,689,25,0.0,0.23,0.77
283,585,25,0.0,0.84,0.16
200,680,25,0.0,0.6,0.4
31,575,25,0.0,0.02,0.98
431,287,25,0.73,0.05,0.22
268,537,25,0.0,0.79,0.21
35,386,25,0.0,0.1,0.9
99,331,25,0.54,0.12,0.34
297,456,25,0.0,0.21,0.79
456,131,25,0.76,0.02,0.21
38,115,25,0.06,0.38,0.56
386,308,25,0.82,0.08,0.09
195,638,25,0.0,0.43,0.57
84,415,25,0.9,0.1,0.0
426,292,25,0.83,0.08,0.1
416,217,25,0.48,0.0,0.51
455,145,25,0.72,0.06,0.22
398,619,25,0.95,0.05,0.0
207,465,25,0.0,0.53,0.47
464,623,25,0.14,0.1,0.76
125,554,25,0.8,0.17,0.04
360,195,25,0.36,0.1,0.54
200,482,25,0.0,0.48,0.52
59,654,25,0.14,0.57,0.29
221,640,25,0.0,0.88,0.12
205,632,25,0.0,0.7,0.3
189,422,25,0.0,0.69,0.31
413,683,25,0.6,0.22,0.17
164,570,25,0.78,0.21,0.01
430,77,25,0.52,0.04,0.44
141,583,25,0.71,0.23,0.05
184,672,25,0.0,0.42,0.58
426,353,25,0.13,0.14,0.73
140,247,25,0.96,0.04,0.0
408,311,25,0.95,0.05,0.0
215,472,25,0.0,0.68,0.32
255,533,25,0.0,0.91,0.09
309,80,25,0.0,0.74,0.26
309,600,25,0.0,0.25,0.75
206,457,25,0.0,0.67,0.33
393,291,25,0.84,0.16,0.0
196,596,25,0.05,0.54,0.42
212,368,25,0.0,0.83,0.17
170,187,25,0.01,0.29,0.7
353,35,25,0.1,0.2,0.69
114,584,25,0.78,0.22,0.0
269,531,25,0.0,0.83,0.17
432,179,25,0.25,0.19,0.56
131,47,25,0.88,0.04,0.09
252,98,25,0.0,1.0,0.0
80,183,25,0.02,0.16,0.82
412,42,25,0.18,0.34,0.48
362,320,25,0.22,0.31,0.48
410,297,25,0.82,0.18,0.0
70,151,25,0.59,0.23,0.18
84,435,25,0.97,0.03,0.0
456,68,25,0.16,0.14,0.7
478,682,25,0.0,0.37,0.63
47,512,25,0.0,0.32,0.68
271,529,25,0.0,0.82,0.18
79,480,25,0.69,0.29,0.02
159,219,25,0.8,0.08,0.12
111,437,25,0.82,0.14,0.04
134,518,25,0.09,0.36,0.55
393,612,25,0.87,0.13,0.0
157,360,25,0.03,0.14,0.83
221,420,25,0.0,0.99,0.01
321,588,25,0.02,0.37,0.61
70,662,25,0.2,0.67,0.13
174,684,25,0.0,0.38,0.62
104,203,25,0.6,0.16,0.24
83,227,25,0.73,0.1,0.17
293,587,25,0.0,0.77,0.23
225,297,25,0.0,0.96,0.04
453,580,25,0.19,0.05,0.76
38,67,25,0.03,0.41,0.57
233,555,25,0.0,1.0,0.0
307,432,25,0.0,0.18,0.82
400,164,25,0.61,0.19,0.2
388,667,25,0.69,0.21,0.1
380,340,25,0.3,0.29,0.41
350,562,25,0.44,0.18,0.38
201,413,25,0.0,0.97,0.03
289,182,25,0.0,0.28,0.72
340,297,25,0.11,0.35,0.54
424,264,25,0.89,0.1,0.01
149,497,25,0.0,0.25,0.75
320,121,25,0.0,0.22,0.78
145,55,25,0.89,0.08,0.03
462,628,25,0.14,0.17,0.68
424,478,25,0.98,0.02,0.0
121,224,25,0.87,0.13,0.0
480,254,25,0.02,0.11,0.87
180,623,25,0.0,0.28,0.72
112,556,25,0.72,0.26,0.02
25,339,25,0.0,0.07,0.93
433,511,25,0.25,0.05,0.69
281,36,25,0.0,0.42,0.58
63,553,25,0.2,0.3,0.5
351,161,25,0.08,0.49,0.43
396,675,25,0.63,0.35,0.03
71,359,25,0.05,0.07,0.88
316,510,25,0.0,0.12,0.88
100,441,25,0.87,0.12,0.01
59,496,25,0.16,0.55,0.3
431,287,25,0.65,0.27,0.08
254,550,25,0.0,0.96,0.04
469,376,25,0.0,0.09,0.91
271,361,25,0.0,0.65,0.35
312,376,25,0.0,0.11,0.89
294,675,25,0.0,0.28,0.72
139,220,25,0.78,0.18,0.04
64,524,25,0.0,0.35,0.65
175,279,25,0.09,0.43,0.48
173,430,25,0.0,0.74,0.26
227,115,25,0.0,0.98,0.02
96,543,25,0.4,0.33,0.26
176,244,25,0.75,0.25,0.0
75,618,25,0.72,0.24,0.04
182,657,25,0.0,0.51,0.49
149,184,25,0.06,0.31,0.63
125,161,25,0.27,0.29,0.44
355,589,25,0.64,0.28,0.07
452,173,25,0.28,0.23,0.49
419,638,25,0.88,0.11,0.01
52,636,25,0.16,0.48,0.36
159,506,25,0.0,0.4,0.6
247,170,25,0.0,0.97,0.03
376,567,25,0.66,0.18,0.16
468,492,25,0.16,0.12,0.72
124,573,25,0.71,0.29,0.0
376,342,25,0.22,0.35,0.43
295,259,25,0.0,0.91,0.09
124,619,25,0.84,0.12,0.03
441,250,25,0.75,0.17,0.08
291,622,25,0.0,0.31,0.69
73,491,25,0.43,0.52,0.05
68,121,25,0.75,0.23,0.02
248,356,25,0.0,0.97,0.03
275,182,25,0.0,0.58,0.42
442,584,25,0.42,0.17,0.42
433,545,25,0.0,0.08,0.92
452,198,25,0.0,0.14,0.86
202,338,25,0.0,0.49,0.51
311,305,25,0.0,0.16,0.84
124,574,25,0.68,0.32,0.0
369,512,25,0.0,0.17,0.83
145,566,25,0.66,0.34,0.0
137,672,25,0.18,0.52,0.3
160,222,25,0.72,0.24,0.05
78,362,25,0.11,0.11,0.77
441,213,25,0.18,0.09,0.72
394,690,25,0.29,0.35,0.36
207,539,25,0.02,0.86,0.12
247,373,25,0.0,0.98,0.02
139,525,25,0.17,0.56,0.27
87,601,25,0.83,0.15,0.02
189,209,25,0.33,0.48,0.19
417,179,25,0.22,0.4,0.38
150,446,25,0.08,0.48,0.44
247,474,25,0.0,0.96,0.04
242,307,25,0.0,1.0,0.0
313,55,25,0.0,0.37,0.63
93,305,25,0.9,0.1,0.0
85,58,25,0.92,0.06,0.02
431,592,25,0.65,0.24,0.1
81,372,25,0.32,0.16,0.52
333,389,25,0.16,0.14,0.7
334,136,25,0.0,0.38,0.62
376,250,25,0.89,0.11,0.0
431,355,25,0.08,0.26,0.66
290,527,25,0.0,0.58,0.42
36,672,25,0.0,0.26,0.74
394,107,25,0.96,0.04,0.0
459,282,25,0.12,0.4,0.48
72,322,25,0.66,0.24,0.1
33,392,25,0.0,0.22,0.78
91,515,25,0.16,0.52,0.32
270,322,25,0.0,0.71,0.29
124,677,25,0.16,0.45,0.4
431,559,25,0.08,0.23,0.69
50,616,25,0.14,0.47,0.39
134,151,25,0.25,0.21,0.54
351,474,25,0.0,0.29,0.71
117,104,25,0.89,0.08,0.03
278,58,25,0.0,0.78,0.22
142,71,25,0.93,0.07,0.0
189,149,25,0.0,0.5,0.5
340,57,25,0.34,0.35,0.31
389,570,25,0.6,0.31,0.09
74,575,25,0.54,0.36,0.1
129,193,25,0.28,0.42,0.3
472,437,25,0.45,0.06,0.49
284,54,25,0.0,0.71,0.29
222,608,25,0.0,0.94,0.06
207,177,25,0.0,0.88,0.12
311,682,25,0.0,0.17,0.83
44,243,25,0.22,0.32,0.46
427,216,25,0.41,0.11,0.48
232,448,25,0.0,0.97,0.03
296,547,25,0.0,0.72,0.28
451,362,25,0.0,0.28,0.72
87,388,25,0.64,0.23,0.13
122,623,25,0.77,0.21,0.02
334,66,25,0.29,0.47,0.24
344,640,25,0.2,0.36,0.44
408,452,25,0.94,0.06,0.0
328,83,25,0.22,0.53,0.26
425,510,25,0.33,0.15,0.52
169,159,25,0.0,0.58,0.42
214,167,25,0.0,0.95,0.05
301,305,25,0.0,0.43,0.57
426,576,25,0.41,0.43,0.17
254,174,25,0.0,0.91,0.09
468,106,25,0.54,0.06,0.4
225,182,25,0.0,0.99,0.01
178,61,25,0.52,0.47,0.01
296,391,25,0.0,0.53,0.47
210,175,25,0.0,0.92,0.08
408,125,25,0.89,0.11,0.0
200,119,25,0.0,0.72,0.28
372,141,25,0.62,0.27,0.12
261,77,25,0.0,0.97,0.03
332,282,25,0.19,0.48,0.34
133,29,25,0.38,0.11,0.51
241,265,25,0.0,1.0,0.0
76,595,25,0.61,0.32,0.07
416,449,25,0.91,0.09,0.0
467,234,25,0.18,0.16,0.66
475,82,25,0.25,0.19,0.55
291,320,25,0.0,0.4,0.6
176,266,25,0.33,0.45,0.22
339,357,25,0.0,0.26,0.74
334,540,25,0.01,0.59,0.4
229,654,25,0.0,1.0,0.0
372,36,25,0.2,0.46,0.35
46,474,25,0.08,0.61,0.31
173,90,25,0.36,0.56,0.09
131,658,25,0.4,0.53,0.06
35,644,25,0.0,0.35,0.65
97,555,25,0.44,0.51,0.05
197,517,25,0.0,0.81,0.19
121,280,25,0.71,0.17,0.12
133,443,25,0.34,0.41,0.25
73,267,25,0.8,0.2,0.0
374,659,25,0.49,0.33,0.17
370,584,25,0.68,0.32,0.0
361,551,25,0.35,0.38,0.27
426,197,25,0.02,0.38,0.6
311,186,25,0.0,0.3,0.7
116,426,25,0.65,0.34,0.0
469,318,25,0.0,0.29,0.71
195,315,25,0.0,0.67,0.33
246,163,25,0.0,1.0,0.0
81,381,25,0.47,0.29,0.24
