x,y,r,building,road,none
66,570,20,0.0,0.0,1.0
154,50,20,0.0,0.88,0.12
456,45,20,0.0,0.01,0.99
561,569,20,0.0,0.0,1.0
311,396,20,0.0,0.04,0.96
323,490,20,0.0,0.02,0.98
58,416,20,0.0,0.0,1.0
111,319,20,0.0,0.0,1.0
204,71,20,0.0,0.01,0.99
359,288,20,0.0,0.39,0.61
260,458,20,0.0,0.88,0.12
201,435,20,0.2,0.02,0.78
511,165,20,0.0,0.0,1.0
167,406,20,0.66,0.15,0.19
496,292,20,0.0,0.61,0.39
407,39,20,0.0,0.7,0.3
203,529,20,0.9,0.0,0.1
443,453,20,0.04,0.0,0.96
497,559,20,0.0,0.0,1.0
165,137,20,0.0,0.12,0.88
333,362,20,0.0,0.32,0.68
414,351,20,0.0,0.05,0.95
497,362,20,0.0,0.03,0.97
376,405,20,0.0,0.03,0.97
391,547,20,0.59,0.03,0.38
544,432,20,0.0,0.21,0.79
308,287,20,0.0,0.01,0.99
289,20,20,0.0,0.0,1.0
75,198,20,0.0,0.19,0.81
217,163,20,0.0,0.02,0.98
321,548,20,0.0,0.42,0.58
274,244,20,0.0,0.0,1.0
383,490,20,0.96,0.04,0.0
397,122,20,0.0,0.01,0.99
421,190,20,0.0,0.0,1.0
476,416,20,0.0,0.01,0.99
