x,y,r,building,road,none
1890,714,50,0.0,0.0,1.0
1448,1302,50,0.0,0.0,1.0
408,1131,50,0.0,0.0,1.0
1692,154,50,0.0,0.0,1.0
107,1457,50,0.0,0.0,1.0
755,740,50,0.0,0.0,1.0
719,1247,50,0.0,1.0,0.0
1824,1404,50,0.0,0.89,0.11
223,315,50,0.0,0.0,1.0
1860,1191,50,0.0,0.75,0.25
1356,1126,50,0.0,0.0,1.0
319,1944,50,0.0,0.0,1.0
1730,942,50,0.0,0.13,0.87
1646,1519,50,0.0,0.0,1.0
353,1142,50,0.0,0.01,0.99
827,462,50,0.0,0.0,1.0
350,1533,50,0.0,0.0,1.0
322,1049,50,0.0,0.0,1.0
547,723,50,0.0,0.0,1.0
1445,1838,50,1.0,0.0,0.0
1336,937,50,0.0,0.7,0.3
622,722,50,0.0,0.0,1.0
1454,1620,50,0.75,0.0,0.25
1239,1476,50,0.06,0.01,0.93
1546,988,50,0.0,0.0,1.0
1499,1234,50,0.0,0.0,1.0
1000,261,50,0.0,1.0,0.0
1063,1827,50,0.0,0.98,0.02
832,449,50,0.0,0.02,0.98
113,308,50,0.0,0.01,0.99
263,447,50,0.0,0.0,1.0
1274,244,50,0.0,0.01,0.99
161,863,50,0.0,0.0,1.0
92,1082,50,0.0,0.0,1.0
92,1394,50,0.0,0.0,1.0
1714,1556,50,0.0,0.0,1.0
711,1919,50,0.01,0.0,0.99
1865,789,50,0.0,0.0,1.0
1111,123,50,0.0,0.0,1.0
327,1903,50,0.0,0.0,1.0
733,1887,50,0.25,0.01,0.74
253,1351,50,0.0,0.0,1.0
1092,281,50,0.0,0.85,0.15
1071,1180,50,0.0,0.81,0.19
1597,381,50,0.0,0.0,1.0
1611,1192,50,0.0,0.0,1.0
680,200,50,0.0,0.0,1.0
465,1609,50,0.0,0.0,1.0
1437,557,50,0.0,0.34,0.66
175,58,50,0.0,0.0,1.0
255,518,50,0.0,0.0,1.0
1756,145,50,0.0,0.0,1.0
940,588,50,0.0,0.31,0.69
1000,1908,50,0.0,0.1,0.9
689,964,50,0.0,0.0,1.0
1563,1305,50,0.0,0.0,1.0
1133,170,50,0.0,0.01,0.99
410,1815,50,0.0,0.0,1.0
1077,1600,50,0.0,0.0,1.0
695,840,50,0.0,0.0,1.0
1740,1979,50,0.0,0.0,1.0
1067,2027,50,0.0,0.12,0.88
1800,1299,50,0.0,0.93,0.07
1046,1678,50,0.0,0.49,0.51
1549,990,50,0.0,0.01,0.99
353,1814,50,0.0,0.01,0.99
369,1718,50,0.0,0.0,1.0
1209,1492,50,0.08,0.02,0.9
1185,900,50,0.0,0.13,0.87
149,1674,50,0.0,0.0,1.0
471,919,50,0.0,0.0,1.0
409,277,50,0.0,0.0,1.0
1526,1080,50,0.0,0.0,1.0
1208,990,50,0.0,0.77,0.23
847,916,50,0.0,0.0,1.0
1865,643,50,0.0,0.0,1.0
916,1723,50,0.0,0.87,0.13
570,191,50,0.0,0.01,0.99
1181,646,50,0.0,0.0,1.0
531,585,50,0.0,0.0,1.0
1689,491,50,0.0,0.0,1.0
1502,2015,50,0.0,0.57,0.43
1439,1918,50,0.7,0.0,0.3
1396,107,50,0.0,0.34,0.66
186,287,50,0.0,0.01,0.99
1586,616,50,0.0,0.41,0.59
1144,1824,50,0.0,0.94,0.06
307,1806,50,0.0,0.02,0.98
194,1853,50,0.0,0.0,1.0
675,531,50,0.0,0.0,1.0
1856,259,50,0.0,0.0,1.0
1399,449,50,0.0,0.33,0.67
1850,441,50,0.0,0.58,0.42
835,305,50,0.0,0.63,0.37
701,1605,50,0.67,0.33,0.0
1322,1046,50,0.0,0.55,0.45
519,1803,50,0.0,0.0,1.0
1675,53,50,0.0,0.0,1.0
1542,446,50,0.0,0.2,0.8
1076,1589,50,0.0,0.01,0.99
136,867,50,0.0,0.01,0.99
671,1605,50,0.94,0.06,0.0
277,792,50,0.0,0.0,1.0
646,1591,50,0.97,0.03,0.0
57,1955,50,0.0,0.0,1.0
192,1824,50,0.0,0.01,0.99
750,343,50,0.0,0.01,0.99
739,1189,50,0.0,1.0,0.0
315,858,50,0.0,0.0,1.0
1881,692,50,0.0,0.01,0.99
1719,1951,50,0.0,0.23,0.77
775,762,50,0.0,0.0,1.0
983,528,50,0.0,0.98,0.02
1094,2064,50,0.0,0.26,0.74
1820,114,50,0.0,0.0,1.0
502,1490,50,0.77,0.03,0.2
1590,1222,50,0.0,0.01,0.99
1126,504,50,0.0,0.98,0.02
139,1833,50,0.0,0.03,0.97
966,822,50,0.0,0.0,1.0
1419,960,50,0.0,0.72,0.28
813,1162,50,0.0,0.95,0.05
1299,1345,50,0.0,0.0,1.0
170,1033,50,0.0,0.0,1.0
962,800,50,0.0,0.01,0.99
1104,758,50,0.0,0.0,1.0
1122,356,50,0.0,0.95,0.05
815,914,50,0.0,0.01,0.99
1602,59,50,0.0,0.01,0.99
1749,1665,50,0.0,0.08,0.92
1256,131,50,0.0,0.19,0.81
858,1335,50,0.0,1.0,0.0
1401,1515,50,0.64,0.0,0.35
1508,466,50,0.0,0.67,0.33
403,745,50,0.0,0.0,1.0
245,683,50,0.0,0.0,1.0
122,524,50,0.0,0.0,1.0
702,1915,50,0.01,0.03,0.96
1501,468,50,0.0,0.76,0.24
885,1768,50,0.0,0.62,0.38
623,289,50,0.0,0.0,1.0
776,1703,50,0.45,0.55,0.0
732,1160,50,0.0,0.85,0.15
732,62,50,0.0,0.8,0.2
1386,988,50,0.0,0.59,0.41
1748,1717,50,0.0,0.22,0.78
1165,1332,50,0.0,0.0,1.0
1507,2012,50,0.0,0.59,0.41
995,2031,50,0.0,0.03,0.97
1455,824,50,0.0,0.95,0.05
1134,536,50,0.0,0.66,0.34
1476,206,50,0.0,0.0,1.0
67,801,50,0.0,0.0,1.0
1349,1961,50,0.2,0.01,0.79
952,1972,50,0.0,0.0,1.0
634,1116,50,0.0,0.07,0.93
571,824,50,0.0,0.01,0.99
1513,278,50,0.0,0.0,1.0
1574,598,50,0.0,0.49,0.51
915,1555,50,0.0,0.83,0.17
1688,343,50,0.0,0.0,1.0
666,1563,50,0.79,0.21,0.0
1831,160,50,0.0,0.0,1.0
704,1174,50,0.0,0.93,0.07
1644,745,50,0.0,0.21,0.79
545,1089,50,0.0,0.01,0.99
106,841,50,0.0,0.03,0.97
1723,1898,50,0.0,0.62,0.38
1541,490,50,0.0,0.39,0.61
1544,1455,50,0.0,0.0,1.0
1879,1694,50,0.0,0.07,0.93
1210,1367,50,0.0,0.01,0.99
1380,1535,50,0.95,0.01,0.04
1130,1300,50,0.0,0.02,0.98
486,137,50,0.0,0.0,1.0
167,2058,50,0.0,0.0,1.0
624,1611,50,0.96,0.04,0.0
944,1630,50,0.0,1.0,0.0
1443,1447,50,0.0,0.01,0.99
137,1927,50,0.0,0.0,1.0
767,825,50,0.0,0.0,1.0
750,1712,50,0.77,0.23,0.0
1439,1333,50,0.0,0.01,0.99
1591,937,50,0.0,0.48,0.52
634,1612,50,0.94,0.06,0.0
622,126,50,0.0,0.0,1.0
1387,496,50,0.0,0.08,0.92
1484,869,50,0.0,1.0,0.0
980,1813,50,0.0,0.3,0.7
1364,739,50,0.0,0.0,1.0
247,1560,50,0.0,0.01,0.99
1299,1086,50,0.0,0.41,0.59
1486,439,50,0.0,0.75,0.25
818,1951,50,0.0,0.0,1.0
1109,96,50,0.0,0.01,0.99
1302,1080,50,0.0,0.47,0.53
