x,y,r,building,road,none
1801,696,50,0.43795153,0.29186267,0.2701858
481,1882,50,0.43795153,0.29186267,0.2701858
1152,772,50,0.43795153,0.29186267,0.2701858
335,674,50,0.43795153,0.29186267,0.2701858
1583,1284,50,0.43795153,0.29186267,0.2701858
1098,1206,50,0.46528643,0.26459175,0.27012178
461,1415,50,0.48949122,0.26383322,0.24667554
1258,817,50,0.47318175,0.26681626,0.26000202
1074,208,50,0.5135743,0.2249442,0.2614815
362,1543,50,0.43795153,0.29186267,0.2701858
257,431,50,0.43795153,0.29186267,0.2701858
1733,460,50,0.43795153,0.29186267,0.2701858
1416,629,50,0.45809695,0.28446501,0.25743803
1344,392,50,0.4403418,0.29640567,0.26325253
981,335,50,0.48205554,0.2584796,0.25946486
293,641,50,0.47702718,0.25358436,0.26938847
1528,1604,50,0.43044978,0.29749012,0.27206007
655,129,50,0.43795153,0.29186267,0.2701858
961,644,50,0.42934105,0.2795278,0.29113108
835,1180,50,0.48205554,0.2584796,0.25946486
236,1773,50,0.43795153,0.29186267,0.2701858
1074,515,50,0.49076542,0.2597575,0.2494771
146,2006,50,0.43795153,0.29186267,0.2701858
1769,1693,50,0.4481374,0.28177714,0.27008545
497,686,50,0.47149533,0.26442042,0.26408425
910,1719,50,0.48895428,0.25970933,0.25133637
926,667,50,0.51252145,0.21513285,0.27234566
746,1745,50,0.47644645,0.26902303,0.25453052
1387,103,50,0.44579348,0.26443836,0.28976816
742,1545,50,0.48322812,0.25886983,0.257902
374,1447,50,0.46914184,0.26281044,0.2680477
1778,1152,50,0.4613848,0.27311864,0.26549652
486,748,50,0.4910427,0.23999538,0.26896197
1818,1706,50,0.48419842,0.23705734,0.27874425
1283,1874,50,0.430311,0.29068553,0.27900356
381,1419,50,0.48513415,0.2233884,0.29147744
766,624,50,0.43424946,0.2894753,0.27627522
458,1782,50,0.46358582,0.26465642,0.2717577
1823,551,50,0.45579708,0.28140163,0.26280126
1161,2059,50,0.45558497,0.26728502,0.27712998
176,1134,50,0.43795153,0.29186267,0.2701858
1220,1938,50,0.46695852,0.22986183,0.3031797
1592,1885,50,0.45097542,0.27978855,0.269236
1045,1788,50,0.4672949,0.27072585,0.26197925
397,1615,50,0.47449622,0.2525491,0.27295467
1277,774,50,0.48469934,0.24685104,0.2684497
322,1292,50,0.43795153,0.29186267,0.2701858
397,1937,50,0.43565112,0.28005275,0.28429607
1662,242,50,0.43795153,0.29186267,0.2701858
172,507,50,0.42911264,0.2847704,0.28611702
1887,1196,50,0.45792145,0.2543955,0.28768304
1803,945,50,0.43441808,0.28569865,0.2798832
1607,1496,50,0.43795153,0.29186267,0.2701858
411,362,50,0.43795153,0.29186267,0.2701858
1203,174,50,0.45333463,0.27830637,0.268359
92,338,50,0.43795153,0.29186267,0.2701858
239,405,50,0.49271217,0.24539998,0.26188788
468,239,50,0.43795153,0.29186267,0.2701858
810,2042,50,0.43795153,0.29186267,0.2701858
1449,692,50,0.49048465,0.24517913,0.2643363
1572,1741,50,0.47731707,0.2850298,0.23765309
341,110,50,0.43795153,0.29186267,0.2701858
564,1816,50,0.47308192,0.25593758,0.27098048
987,1056,50,0.45763,0.26860505,0.2737649
162,828,50,0.43795153,0.29186267,0.2701858
586,1438,50,0.4863873,0.22211,0.29150274
970,1179,50,0.48231423,0.24609232,0.2715934
1671,1660,50,0.45797244,0.27040866,0.27161896
1660,564,50,0.43795153,0.29186267,0.2701858
1139,86,50,0.42550457,0.2972045,0.27729088
412,1726,50,0.47442165,0.24892268,0.2766556
680,1552,50,0.49035025,0.2288739,0.28077587
484,1383,50,0.50930744,0.2372506,0.253442
881,1969,50,0.42676356,0.28999305,0.28324345
959,1644,50,0.4898118,0.25759593,0.2525923
1088,2022,50,0.45847008,0.25043443,0.29109553
1656,817,50,0.46407077,0.27071506,0.26521426
431,1367,50,0.49641076,0.23283,0.27075922
800,679,50,0.47901586,0.24423254,0.27675158
260,343,50,0.48482764,0.25125977,0.26391265
