x,y,r,building,road,none
93,557,50,0.55,0.07,0.37
78,442,50,0.69,0.18,0.12
97,572,50,0.72,0.1,0.18
395,361,50,0.36,0.08,0.56
390,263,50,0.95,0.02,0.03
389,582,50,0.71,0.01,0.28
416,532,50,0.19,0.07,0.74
99,542,50,0.47,0.09,0.44
415,65,50,0.47,0.04,0.49
85,661,50,0.36,0.19,0.45
424,501,50,0.44,0.07,0.49
304,316,50,0.0,0.25,0.75
176,280,50,0.25,0.31,0.44
51,625,50,0.26,0.22,0.52
395,649,50,0.74,0.1,0.16
120,567,50,0.78,0.08,0.14
272,232,50,0.0,0.8,0.2
116,375,50,0.48,0.04,0.48
221,266,50,0.09,0.82,0.09
414,121,50,0.96,0.01,0.03
334,281,50,0.29,0.25,0.46
425,341,50,0.33,0.09,0.58
250,539,50,0.0,0.81,0.19
255,284,50,0.0,0.86,0.14
267,128,50,0.0,0.71,0.29
363,558,50,0.37,0.06,0.57
401,145,50,0.67,0.06,0.27
222,502,50,0.0,0.72,0.28
388,523,50,0.23,0.11,0.66
67,148,50,0.37,0.14,0.49
175,345,50,0.01,0.27,0.71
91,457,50,0.65,0.16,0.19
256,378,50,0.0,0.81,0.19
412,207,50,0.46,0.03,0.5
61,647,50,0.28,0.26,0.46
423,369,50,0.36,0.08,0.57
340,536,50,0.13,0.12,0.75
277,594,50,0.0,0.65,0.35
111,417,50,0.82,0.05,0.13
106,222,50,0.66,0.02,0.32
377,110,50,0.78,0.1,0.11
389,572,50,0.63,0.05,0.32
156,457,50,0.15,0.16,0.7
294,385,50,0.0,0.43,0.57
155,606,50,0.47,0.1,0.43
253,349,50,0.0,0.76,0.24
333,52,50,0.2,0.21,0.59
153,307,50,0.21,0.17,0.62
65,113,50,0.57,0.22,0.21
69,102,50,0.64,0.23,0.14
125,247,50,0.87,0.06,0.07
405,316,50,0.62,0.14,0.24
279,234,50,0.0,0.76,0.24
231,579,50,0.02,0.89,0.09
172,233,50,0.51,0.3,0.19
384,178,50,0.44,0.1,0.46
176,526,50,0.23,0.32,0.46
193,439,50,0.0,0.53,0.47
92,532,50,0.4,0.18,0.42
335,614,50,0.32,0.17,0.51
118,641,50,0.53,0.11,0.36
121,439,50,0.63,0.09,0.28
316,320,50,0.0,0.24,0.76
184,196,50,0.24,0.32,0.44
231,537,50,0.01,0.85,0.13
81,571,50,0.57,0.19,0.24
134,102,50,0.65,0.08,0.27
84,278,50,0.78,0.13,0.09
411,536,50,0.23,0.15,0.62
93,336,50,0.47,0.1,0.43
242,177,50,0.0,0.78,0.22
426,373,50,0.37,0.09,0.54
335,425,50,0.29,0.14,0.57
56,281,50,0.51,0.17,0.33
310,138,50,0.01,0.37,0.62
203,567,50,0.19,0.67,0.15
424,608,50,0.67,0.04,0.29
334,351,50,0.05,0.22,0.73
171,105,50,0.29,0.36,0.36
252,83,50,0.0,0.92,0.08
328,303,50,0.15,0.31,0.54
104,427,50,0.82,0.11,0.06
50,456,50,0.34,0.3,0.36
334,348,50,0.04,0.25,0.71
196,363,50,0.0,0.64,0.36
329,349,50,0.02,0.3,0.68
381,130,50,0.71,0.14,0.16
290,609,50,0.0,0.55,0.45
291,214,50,0.01,0.58,0.41
72,139,50,0.45,0.2,0.35
68,127,50,0.49,0.25,0.25
238,565,50,0.0,0.95,0.05
215,186,50,0.06,0.73,0.21
281,350,50,0.0,0.65,0.35
282,330,50,0.0,0.6,0.4
248,199,50,0.01,0.86,0.13
61,394,50,0.37,0.14,0.49
268,613,50,0.0,0.73,0.27
440,555,50,0.18,0.08,0.75
291,337,50,0.0,0.55,0.45
247,616,50,0.0,0.85,0.15
70,85,50,0.6,0.25,0.15
441,624,50,0.52,0.04,0.44
430,54,50,0.27,0.07,0.66
288,561,50,0.0,0.67,0.33
389,392,50,0.61,0.08,0.31
188,461,50,0.0,0.44,0.56
374,537,50,0.25,0.22,0.53
214,504,50,0.0,0.73,0.27
428,402,50,0.64,0.04,0.31
325,620,50,0.21,0.26,0.53
251,194,50,0.0,0.86,0.14
350,92,50,0.52,0.28,0.2
397,287,50,0.87,0.07,0.05
312,379,50,0.06,0.4,0.54
154,112,50,0.37,0.22,0.41
418,626,50,0.8,0.05,0.15
450,259,50,0.4,0.06,0.54
140,576,50,0.73,0.17,0.1
337,603,50,0.37,0.31,0.32
66,330,50,0.39,0.12,0.48
376,397,50,0.61,0.13,0.26
177,331,50,0.0,0.37,0.63
