x,y,r,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
46,400,25,0.0,0.14519517,0.06596316,0.0,0.0,0.0,0.0,0.18744564,0.0,0.0,0.36868775,0.025263641,0.0,0.0,0.021609468,0.18583518
400,364,25,0.0,0.0,0.13200518,0.017099334,0.0,0.0,0.0,0.110811815,0.0,0.0,0.117311426,0.21461488,0.0,0.0,0.15305,0.2551073
456,674,25,0.007823183,0.2297327,0.20043959,0.058781687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14514476,0.0,0.0,0.24838574,0.109692305
277,534,25,0.0,0.0,0.07498003,0.06762302,0.0,0.024204407,0.0,0.008768565,0.0,0.0,0.087286726,0.33614576,0.0,0.0,0.043887414,0.3571041
120,684,25,0.0,0.010253352,0.074827686,0.0,0.0,0.0,0.0,0.15818611,0.0,0.0,0.28906286,0.13240561,0.0,0.0,0.093218036,0.24204636
404,49,25,0.0,0.005860512,0.1936904,0.015183303,0.0,0.0,0.0,0.12680113,0.0,0.0,0.057752497,0.16470553,0.0,0.0,0.17347276,0.2625338
154,164,25,0.0,0.0,0.13460875,0.023035506,0.0,0.0,0.0,0.08375119,0.0,0.0,0.092729874,0.23670109,0.0,0.0,0.136931,0.29224262
231,178,25,0.0,0.0,0.056981537,0.011102348,0.0,0.0039069876,0.0,0.019894606,0.0,0.0,0.15565385,0.32617417,0.0,0.0,0.06633682,0.35994965
272,341,25,0.0,0.0,0.07250515,0.09158361,0.0,0.03570343,0.0,0.0,0.0,0.0,0.07788976,0.34060678,0.0,0.0,0.031040926,0.35067028
205,250,25,0.0,0.0,0.029150689,0.0,0.0,0.0019331946,0.0,0.02636619,0.0,0.0,0.22223112,0.2995625,0.0,0.0,0.043013584,0.37774268
220,613,25,0.0,0.0,0.043746654,0.0,0.0,0.0,0.0,0.044471595,0.0,0.0,0.24122126,0.28743735,0.0,0.0,0.07523361,0.30788955
120,602,25,0.016879857,0.16088155,0.16019501,0.0,0.0,0.0,0.0,0.13851045,0.0,0.0036651508,0.116445914,0.03717777,0.0,0.0,0.15576302,0.2104813
472,182,25,0.06259515,0.22668906,0.16617824,0.100751296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15479825,0.0,0.0,0.23677436,0.05221365
217,141,25,0.0,0.0,0.04143291,0.0,0.0,0.0,0.0,0.050743807,0.0,0.0,0.25094786,0.27715078,0.0,0.0,0.07421682,0.3055078
383,109,25,0.025662651,0.1802649,0.14246075,0.0,0.0,0.0,0.0,0.14177212,0.0,0.009137993,0.13631932,0.020531937,0.0,0.0,0.14477459,0.1990757
194,362,25,0.0,0.0,0.007221575,0.005858715,0.0,0.018294105,0.0,0.005304121,0.0,0.0,0.29448706,0.30556482,0.0,0.0,0.01583746,0.3474322
241,203,25,0.0,0.0,0.057005238,0.011586999,0.0,0.0044767708,0.0,0.019529302,0.0,0.0,0.15377049,0.32627767,0.0,0.0,0.06504781,0.36230564
96,634,25,0.029365936,0.18520719,0.14258514,0.0,0.0,0.0,0.0,0.13801223,0.0,0.010564871,0.1292178,0.018826624,0.0,0.0,0.14880069,0.19741945
232,671,25,0.0,0.0,0.05698772,0.011109752,0.0,0.003744436,0.0,0.0198928,0.0,0.0,0.15627868,0.32633796,0.0,0.0,0.06677734,0.3588713
286,397,25,0.0,0.0,0.048353292,0.14559822,0.0,0.07324704,0.0,0.0,0.0,0.0065210937,0.08654946,0.31918332,0.0,0.0,0.004989998,0.31555757
477,327,25,0.0,0.0,0.062044654,0.01372946,0.0,0.008084048,0.0,0.017603692,0.0,0.0,0.14167434,0.31214774,0.0,0.0,0.053776287,0.3909398
395,40,25,0.0,0.0,0.12515089,0.0,0.0,0.0,0.0,0.12925911,0.0,0.0,0.14618722,0.1975024,0.0,0.0,0.14949994,0.25240046
295,504,25,0.0,0.0,0.07610004,0.18210308,0.0,0.06415241,0.0,0.0,0.0,0.047148738,0.06718381,0.30651975,0.0,0.0,0.010629779,0.24616241
353,490,25,0.0,0.0,0.08146098,0.0,0.0,0.0,0.0,0.1538639,0.0,0.0,0.25008866,0.15577771,0.0,0.0,0.10774386,0.2510649
350,668,25,0.0,0.024550319,0.07159191,0.0,0.0,0.0,0.0,0.16790232,0.0,0.0,0.31444293,0.11580871,0.0,0.0,0.070860915,0.23484293
