x,y,r,building,road,none
436,123,50,0.40347037,0.25236014,0.3441695
187,71,50,0.42417195,0.25096616,0.32486185
102,68,50,0.39628518,0.27257445,0.3311404
260,464,50,0.4530412,0.23629063,0.31066814
323,264,50,0.45897183,0.24371265,0.29731548
338,349,50,0.4100775,0.2731831,0.3167394
310,559,50,0.4245899,0.24233688,0.33307323
250,547,50,0.41028547,0.24925739,0.3404572
167,413,50,0.45845923,0.26608434,0.2754565
360,194,50,0.35982564,0.30761603,0.33255833
387,645,50,0.42129734,0.2539424,0.3247602
133,435,50,0.42799738,0.24763007,0.32437262
128,86,50,0.44862166,0.23038962,0.32098874
111,382,50,0.38878632,0.29396942,0.31724426
154,387,50,0.42550215,0.26757383,0.30692407
403,238,50,0.44072944,0.2365188,0.32275182
133,459,50,0.4584329,0.22945055,0.3121165
136,412,50,0.47131598,0.23157905,0.297105
177,420,50,0.44889438,0.23757656,0.31352907
90,186,50,0.37761733,0.30477872,0.31760395
372,304,50,0.46025553,0.23568064,0.3040639
253,481,50,0.5011113,0.22343436,0.2754543
359,109,50,0.4557526,0.239365,0.3048824
134,288,50,0.4015913,0.2718024,0.32660627
232,551,50,0.42623997,0.24776474,0.32599524
254,562,50,0.46119893,0.23571935,0.30308175
339,314,50,0.44481725,0.24159954,0.31358323
399,522,50,0.42626798,0.24531126,0.32842073
406,623,50,0.42901054,0.23199043,0.338999
269,376,50,0.49417216,0.21915734,0.28667042
154,565,50,0.41987148,0.25525472,0.3248738
63,386,50,0.42921004,0.2705377,0.3002522
409,108,50,0.4343136,0.23061335,0.33507308
144,385,50,0.41240644,0.27615747,0.311436
130,360,50,0.42210737,0.24918564,0.32870707
429,85,50,0.44944948,0.2402158,0.31033468
115,271,50,0.45139056,0.25061518,0.2979942
453,442,50,0.41988674,0.23470703,0.3454063
167,583,50,0.45679504,0.2544242,0.28878072
335,195,50,0.43161178,0.2752873,0.2931009
218,424,50,0.472093,0.23064838,0.29725865
407,89,50,0.45903614,0.2141969,0.32676703
243,656,50,0.4401161,0.24040212,0.31948167
351,462,50,0.442947,0.22960061,0.32745242
139,381,50,0.45941842,0.23675133,0.3038302
176,496,50,0.4479336,0.25713384,0.2949325
344,96,50,0.4360384,0.23413867,0.32982296
322,418,50,0.48034838,0.24623193,0.27341968
407,189,50,0.41736084,0.2629092,0.31972998
371,311,50,0.48393542,0.20040745,0.3156572
148,187,50,0.378873,0.25088418,0.37024283
72,498,50,0.43663585,0.24365388,0.3197102
313,128,50,0.46672714,0.23561981,0.29765305
148,495,50,0.44565976,0.2653193,0.28902096
145,201,50,0.42484426,0.24173225,0.33342344
54,576,50,0.48180342,0.21646294,0.30173364
399,67,50,0.44773203,0.25100198,0.30126598
307,443,50,0.4510246,0.2535287,0.29544666
436,75,50,0.4290756,0.2479388,0.32298556
429,138,50,0.45590663,0.24756841,0.29652503
319,105,50,0.43468902,0.27005115,0.29525983
106,439,50,0.4639912,0.22482853,0.31118035
61,277,50,0.42757303,0.24091174,0.33151525
100,459,50,0.4735348,0.22660166,0.29986355
245,187,50,0.45084152,0.2466329,0.3025256
245,639,50,0.42283627,0.29831365,0.27885008
107,127,50,0.45961288,0.23947345,0.30091363
228,633,50,0.42776555,0.25416785,0.31806666
204,171,50,0.45818546,0.24689633,0.29491824
180,481,50,0.44836718,0.250414,0.30121878
180,262,50,0.47050515,0.22501509,0.30447987
173,288,50,0.46250036,0.21636498,0.32113466
359,593,50,0.44300678,0.25199062,0.3050027
383,387,50,0.44504464,0.26367167,0.29128376
328,615,50,0.45764354,0.2334569,0.30889955
448,448,50,0.4908353,0.20791763,0.30124706
326,530,50,0.464998,0.23697357,0.29802838
196,452,50,0.4424431,0.23351009,0.3240468
385,281,50,0.46397907,0.22925292,0.30676794
145,496,50,0.45720354,0.23038475,0.3124116
359,320,50,0.48623404,0.22498503,0.2887809
103,530,50,0.46823123,0.2402775,0.29149115
444,580,50,0.47305134,0.2504565,0.27649206
248,73,50,0.46576053,0.2624298,0.2718096
74,219,50,0.4316047,0.26473096,0.3036643
417,145,50,0.4429642,0.23087654,0.3261593
399,332,50,0.47394583,0.23731275,0.28874147
392,379,50,0.46193814,0.23484112,0.30322078
455,535,50,0.48695,0.23558706,0.27746296
116,534,50,0.44849274,0.23902519,0.31248206
87,649,50,0.41788873,0.21714312,0.3649682
84,228,50,0.42812848,0.24150811,0.33036342
349,565,50,0.45928702,0.22863173,0.3120813
451,643,50,0.4737212,0.21695063,0.3093282
107,634,50,0.4157463,0.28470573,0.29954794
192,260,50,0.465926,0.21609189,0.31798217
333,461,50,0.45431855,0.23039812,0.3152833
328,319,50,0.4721533,0.23722637,0.29062036
315,162,50,0.4540092,0.21838,0.3276108
331,110,50,0.44979623,0.24811116,0.30209258
309,403,50,0.46403134,0.24649005,0.28947863
232,616,50,0.45720112,0.24733771,0.29546124
285,117,50,0.4670194,0.24532767,0.28765294
299,98,50,0.47078842,0.24511576,0.28409588
452,62,50,0.42125067,0.24707906,0.33167028
345,386,50,0.44560024,0.24379952,0.31060025
298,92,50,0.4833138,0.24252456,0.27416164
93,142,50,0.44530305,0.24930802,0.30538902
287,201,50,0.4662887,0.23105274,0.3026585
101,490,50,0.46209,0.23975106,0.2981589
138,285,50,0.47576562,0.21547855,0.30875584
65,550,50,0.42369124,0.2574321,0.31887662
110,331,50,0.4201424,0.23864576,0.34121186
420,659,50,0.45998734,0.24365854,0.29635412
222,307,50,0.47340384,0.24204099,0.28455514
243,118,50,0.4755831,0.23395272,0.2904642
121,467,50,0.49421838,0.21627325,0.28950843
435,106,50,0.43156847,0.23868197,0.32974955
101,271,50,0.47861236,0.21192497,0.30946267
371,123,50,0.4685707,0.22030614,0.31112316
290,397,50,0.47232658,0.22811744,0.29955602
219,346,50,0.46826008,0.23135073,0.3003891
358,51,50,0.43359154,0.24815993,0.3182485
69,119,50,0.47471914,0.23837925,0.28690168
252,609,50,0.46554542,0.25496477,0.27948982
283,319,50,0.46751454,0.23611042,0.29637504
234,72,50,0.47888657,0.25248876,0.2686247
297,613,50,0.45747727,0.2427245,0.29979825
60,588,50,0.443147,0.2781786,0.27867442
104,538,50,0.48075712,0.22760594,0.29163688
155,133,50,0.46200967,0.2283637,0.30962658
236,602,50,0.46544215,0.23279023,0.3017676
114,555,50,0.4751837,0.24083592,0.2839803
382,500,50,0.4553799,0.2308814,0.31373873
450,650,50,0.4687004,0.22570089,0.3055987
257,51,50,0.44802564,0.25417838,0.29779604
173,255,50,0.45436528,0.23844817,0.3071866
395,659,50,0.4539633,0.20291235,0.3431244
