x,y,r,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
689,423,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
1395,976,75,0.0,0.0,0.089793384,0.03840431,0.0,0.0032847289,0.0,0.042766504,0.0,0.0,0.09212061,0.30567905,0.0,0.0,0.082796335,0.3451551
1241,856,75,0.0,0.0,0.0,0.09834273,0.0,0.040534373,0.0,0.055030774,0.0,0.0,0.45020488,0.15043673,0.0,0.0,0.0,0.20545049
1244,380,75,0.03745732,0.0,0.09855795,0.25656337,0.003712872,0.094717376,0.0,0.0,0.0,0.10742552,0.03169183,0.17406495,0.0,0.0,0.035588488,0.16022037
650,218,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
1656,1894,75,0.0,0.0,0.02252524,0.0,0.0,0.0,0.0,0.036783617,0.0,0.0,0.25018084,0.27766988,0.0,0.0,0.03990303,0.3729374
1475,2036,75,0.0,0.0,0.10746751,0.04445049,0.0,0.0,0.0,0.05643003,0.0,0.0,0.08585792,0.2865001,0.0,0.0,0.09943994,0.31985405
831,1699,75,0.0,0.0,0.08164685,0.007832144,0.0,0.0,0.0,0.048070434,0.0,0.0,0.1731983,0.29809585,0.0,0.0,0.10840441,0.2827521
1661,733,75,0.0,0.0,0.07052807,0.23810247,0.0,0.10735214,0.0,0.0,0.0,0.082382746,0.057054564,0.23753303,0.0,0.0,0.0,0.20704699
1604,1129,75,0.0047343746,0.18972439,0.18755102,0.0,0.0,0.0,0.0,0.09732878,0.0,0.0,0.07252098,0.050855823,0.0,0.0,0.18548234,0.21180236
383,1964,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
858,1767,75,0.0,0.0,0.11626289,0.024101999,0.0,0.0,0.0,0.08261913,0.0,0.0,0.12956126,0.25644213,0.0,0.0,0.13750273,0.25350988
162,79,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
1299,335,75,0.0,0.006314612,0.07541776,0.0,0.0,0.0,0.0,0.1667671,0.0,0.0,0.2889448,0.13532545,0.0,0.0,0.08701068,0.2402195
331,435,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
488,1256,75,0.0,0.0,0.054849498,0.0,0.0,0.0,0.0,0.08933831,0.0,0.0,0.23681793,0.2270409,0.0,0.0,0.08867387,0.30327958
1248,99,75,0.0,0.0,0.055748366,0.0,0.0,0.0,0.0,0.13020025,0.0,0.0,0.29127693,0.17836185,0.0,0.0,0.08809108,0.25632155
1854,104,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
638,1150,75,0.0,0.0,0.0,0.02980236,0.0,0.040124446,0.0,0.0045354455,0.0,0.0,0.33402312,0.26641732,0.0,0.0,0.0,0.32509723
377,442,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
490,1053,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
1278,1864,75,0.06298852,0.2342745,0.1086144,0.0058251144,0.0,0.0,0.0,0.11429352,0.0,0.010980132,0.15988356,0.0076305717,0.0,0.0,0.14855334,0.14695631
1133,1482,75,0.0,0.0056302925,0.15479678,0.016352404,0.0,0.0,0.0,0.09729973,0.0,0.0,0.11414593,0.20921308,0.0,0.0,0.16578478,0.23677698
1656,995,75,0.0,0.0,0.04700562,0.0,0.0,0.0,0.0,0.05777215,0.0,0.0,0.27419314,0.27218264,0.0,0.0,0.08143692,0.2674095
717,1512,75,0.0,0.0,0.08408404,0.00853072,0.0,0.0,0.0,0.05010427,0.0,0.002954787,0.17597507,0.29375958,0.0,0.0,0.1122952,0.27229625
1716,710,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
1760,1772,75,0.0,0.0,0.032276057,0.0,0.0,0.0,0.0,0.06307599,0.0,0.0,0.27469197,0.2529624,0.0,0.0,0.06724559,0.309748
341,1930,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
434,1403,75,0.043221723,0.2277682,0.08405762,0.0,0.0,0.0,0.0,0.14632647,0.0,0.013635832,0.22119787,0.0,0.0,0.0,0.10701719,0.15677506
831,738,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
183,1901,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
